Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2007-01-01;00:00;6.8;0.2;20.7;21.1;19.7;93.0;3.0
2007-01-01;01:00;1.6;0.2;20.9;21.0;20.6;92.0;1.5
2007-01-01;02:00;0.0;0.2;20.7;20.9;20.6;91.0;1.3
2007-01-01;03:00;0.0;0.2;19.5;20.8;19.5;89.0;2.0
2007-01-01;04:00;7.0;0.2;18.1;19.5;18.1;95.0;3.5
2007-01-01;05:00;9.4;0.2;17.8;18.2;17.6;94.0;2.6
2007-01-01;06:00;2.0;0.2;17.5;17.8;17.3;95.0;0.0
2007-01-01;07:00;2.0;0.2;18.0;18.0;17.5;95.0;0.1
2007-01-01;08:00;0.6;0.2;18.1;18.3;18.0;95.0;0.1
2007-01-01;09:00;17.4;0.2;16.5;18.2;16.5;96.0;1.9
2007-01-01;10:00;2.4;8.0;16.8;17.0;16.4;96.0;0.5
2007-01-01;11:00;0.0;95.2;17.2;17.5;16.8;95.0;1.6
2007-01-01;12:00;0.0;317.7;18.2;18.4;17.2;90.0;1.8
2007-01-01;13:00;0.2;503.9;18.6;18.7;18.2;92.0;2.8
2007-01-01;14:00;0.0;1473.4;20.3;20.4;18.6;87.0;3.1
2007-01-01;15:00;3.0;1049.7;17.1;21.7;17.1;89.0;4.0
2007-01-01;16:00;17.8;159.8;16.9;17.1;16.5;96.0;1.1
2007-01-01;17:00;3.4;197.0;17.5;17.6;16.9;96.0;1.1
2007-01-01;18:00;0.0;581.3;18.4;18.5;17.5;92.0;1.0
2007-01-01;19:00;0.2;446.0;18.7;18.7;18.3;91.0;0.8
2007-01-01;20:00;0.2;311.7;19.0;19.0;18.6;93.0;0.4
2007-01-01;21:00;0.0;227.4;19.0;19.1;18.9;92.0;0.7
2007-01-01;22:00;0.0;36.3;18.7;19.0;18.7;94.0;0.7
2007-01-01;23:00;0.0;20.5;18.6;18.7;18.2;95.0;0.5
2007-01-02;00:00;0.0;12.6;18.9;19.0;18.5;94.0;1.3
2007-01-02;01:00;0.0;8.7;18.8;19.0;18.4;95.0;1.5
