Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2016-01-01;00:00;0;-9999;21.5;23.3;21.5;78;0.4
2016-01-01;01:00;0;-9999;21.5;21.9;21.2;76;1.1
2016-01-01;02:00;0;-9999;21.4;21.6;21.3;77;1.3
2016-01-01;03:00;0;-9999;21.3;21.5;21.3;76;1.5
2016-01-01;04:00;0;-9999;20.9;21.3;20.5;80;1.3
2016-01-01;05:00;,6;-9999;20.6;20.9;19.9;88;1.5
2016-01-01;06:00;0;-9999;19.1;20.6;19.0;94;1.3
2016-01-01;07:00;0;-9999;20.0;20.1;19.0;93;1.2
2016-01-01;08:00;0;-9999;19.7;20.0;19.5;94;0.4
2016-01-01;09:00;0;6,4;19.4;19.8;19.0;97;0.8
2016-01-01;10:00;0;189,5;21.5;21.5;19.4;80;0.9
2016-01-01;11:00;0;648,6;23.2;23.2;21.5;68;1.0
2016-01-01;12:00;0;1951,9;25.9;25.9;23.1;54;1.9
2016-01-01;13:00;0;2829,3;26.5;27.2;25.9;49;1.7
2016-01-01;14:00;0;2911,6;28.1;28.1;26.4;48;1.4
2016-01-01;15:00;0;3532,9;28.4;28.9;27.5;41;1.8
2016-01-01;16:00;0;1597,8;28.1;28.7;27.7;46;1.4
2016-01-01;17:00;0;641,2;24.2;28.4;24.1;63;3.5
2016-01-01;18:00;0;2100,4;27.0;27.0;24.0;54;1.8
2016-01-01;19:00;0;2801;28.1;28.5;27.0;50;2.1
2016-01-01;20:00;0;1772,3;28.3;28.9;27.7;44;1.9
2016-01-01;21:00;0;873,7;27.9;28.5;27.9;47;1.7
2016-01-01;22:00;0;89,5;24.8;27.9;24.8;59;3.5
2016-01-01;23:00;1,2;-9999;21.9;25.1;21.9;79;1.1
2016-01-02;00:00;3;-9999;20.9;21.9;20.3;93;1.6
2016-01-02;01:00;0;-9999;20.5;21.0;20.5;91;2.4
2016-01-02;02:00;0;-9999;19.3;20.5;19.3;94;1.1
2016-01-02;03:00;0;-9999;18.7;20.2;18.7;96;1.0
2016-01-02;04:00;0;-9999;19.0;19.3;18.7;96;1.4
2016-01-02;05:00;0;-9999;18.7;19.3;18.6;98;1.0
2016-01-02;06:00;0;-9999;18.3;19.8;18.3;97;0.6
2016-01-02;07:00;0;-9999;18.4;18.7;18.1;100;1.7
2016-01-02;08:00;0;-9999;18.5;18.9;18.3;93;1.9
2016-01-02;09:00;0;3,5;18.6;19.4;18.3;95;2.6
2016-01-02;10:00;0;387,1;19.8;19.8;18.4;93;2.0
2016-01-02;11:00;0;1055,7;21.5;21.5;19.8;85;1.9
2016-01-02;12:00;0;2176,2;24.3;24.3;21.5;65;0.8
2016-01-02;13:00;0;2817,1;25.7;26.0;24.1;61;1.0
2016-01-02;14:00;0;2673,8;27.1;27.2;25.3;53;1.3
2016-01-02;15:00;0;3187,8;27.9;28.4;26.4;48;2.1
2016-01-02;16:00;0;2517,2;26.6;29.0;26.6;56;3.0
2016-01-02;17:00;0;1872,8;23.3;28.3;23.3;66;4.0
2016-01-02;18:00;,6;2182,1;27.6;27.6;22.1;57;2.8
2016-01-02;19:00;0;2605;27.5;28.5;26.9;57;2.2
2016-01-02;20:00;0;1237;26.0;29.0;26.0;59;3.5
2016-01-02;21:00;0;344,5;24.2;26.0;24.2;65;2.3
2016-01-02;22:00;0;48,7;22.9;24.2;22.9;71;1.5
2016-01-02;23:00;0;-9999;21.9;23.0;21.9;80;0.9
2016-01-03;00:00;0;-9999;22.1;22.8;21.9;78;0.3
2016-01-03;01:00;0;-9999;22.2;22.3;21.6;77;1.6
2016-01-03;02:00;0;-9999;22.4;22.7;22.2;76;1.3
2016-01-03;03:00;0;-9999;22.0;22.4;21.9;78;1.4
