Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2010-01-01;10:00;0.0;257.0;19.3;19.3;18.9;96.0;1.6
2010-01-01;11:00;0.0;887.2;20.6;20.7;19.2;91.0;2.2
2010-01-01;12:00;0.0;918.8;20.9;21.5;20.6;88.0;3.6
2010-01-01;13:00;0.0;1323.5;21.1;22.0;20.9;89.0;3.5
2010-01-01;14:00;0.0;2297.4;23.5;23.5;21.1;75.0;3.1
2010-01-01;15:00;0.0;2361.0;23.5;24.4;22.9;76.0;3.1
2010-01-01;16:00;0.0;1910.0;23.8;25.3;23.5;72.0;3.7
2010-01-01;17:00;0.0;2640.4;25.0;25.9;23.8;68.0;2.5
2010-01-01;18:00;5.4;1239.9;23.5;26.0;21.9;76.0;3.1
2010-01-01;19:00;0.0;552.9;22.5;23.5;21.6;82.0;2.1
2010-01-01;20:00;0.0;885.9;22.7;22.9;22.4;78.0;2.7
2010-01-01;21:00;0.0;336.1;21.6;22.7;21.6;83.0;1.4
2010-01-01;22:00;0.0;30.6;21.3;21.6;21.2;87.0;0.0
2010-01-01;23:00;1.2;23.7;19.2;21.4;19.1;94.0;3.7
2010-01-02;00:00;3.0;20.2;18.5;19.3;18.5;95.0;3.2
2010-01-02;01:00;1.6;18.5;18.4;18.5;18.3;94.0;2.5
2010-01-02;02:00;0.2;17.6;18.5;18.5;18.4;94.0;2.7
2010-01-02;03:00;0.4;17.2;18.5;18.7;18.5;94.0;4.4
2010-01-02;04:00;0.2;17.0;18.2;18.5;18.2;95.0;2.1
2010-01-02;05:00;0.2;16.9;18.3;18.3;18.2;95.0;2.9
2010-01-02;06:00;1.0;16.8;18.3;18.3;18.2;95.0;1.8
2010-01-02;07:00;0.0;16.8;18.3;18.3;18.2;94.0;2.5
2010-01-02;08:00;0.0;16.8;18.4;18.5;18.3;92.0;4.1
2010-01-02;09:00;0.0;16.8;18.5;18.5;18.4;92.0;3.4
2010-01-02;10:00;0.0;319.6;19.3;19.3;18.5;90.0;3.6
2010-01-02;11:00;0.0;1044.3;20.4;20.4;19.3;85.0;4.9
2010-01-02;12:00;0.0;1575.2;21.4;21.9;20.4;80.0;4.3
2010-01-02;13:00;0.0;1754.9;22.9;22.9;21.1;75.0;4.8
2010-01-02;14:00;0.0;2022.4;23.4;23.7;22.3;70.0;4.5
2010-01-02;15:00;0.0;3251.9;24.8;25.1;23.4;62.0;6.1
2010-01-02;16:00;0.0;2210.7;24.5;25.4;23.1;66.0;4.7
2010-01-02;17:00;0.0;2976.7;24.9;25.9;24.5;61.0;5.3
2010-01-02;18:00;0.0;2901.4;26.2;26.3;24.4;56.0;5.6
2010-01-02;19:00;0.0;2184.9;25.2;26.5;25.1;64.0;4.2
2010-01-02;20:00;0.0;1507.1;25.2;26.1;24.7;62.0;3.1
2010-01-02;21:00;0.0;659.5;24.6;25.2;24.6;54.0;4.2
2010-01-02;22:00;0.0;96.7;22.9;24.6;22.9;69.0;2.4
2010-01-02;23:00;0.0;53.4;22.4;22.9;22.1;75.0;2.4
2010-01-03;00:00;0.0;31.8;20.5;22.5;20.5;86.0;3.2
2010-01-03;01:00;0.0;21.0;20.8;20.8;20.3;81.0;1.3
2010-01-03;02:00;0.0;15.6;20.3;20.9;20.2;86.0;1.5
2010-01-03;03:00;0.2;12.9;19.9;20.4;19.7;90.0;0.7
2010-01-03;04:00;0.0;11.6;18.7;19.9;18.7;92.0;0.7
