Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2011-01-01;00:00;0.0;0.3;19.2;19.4;19.2;95.0;3.4
2011-01-01;01:00;0.0;0.3;19.3;19.3;19.2;93.0;2.2
2011-01-01;02:00;0.0;0.3;19.1;19.3;19.1;95.0;3.0
2011-01-01;03:00;6.0;0.3;18.1;19.1;18.1;96.0;3.7
2011-01-01;04:00;3.0;3.2;17.7;18.2;17.7;96.0;2.4
2011-01-01;05:00;2.0;4.6;18.2;18.2;17.7;97.0;2.6
2011-01-01;06:00;3.4;5.4;17.8;18.2;17.7;97.0;2.3
2011-01-01;07:00;0.0;5.8;18.0;18.0;17.8;96.0;2.0
2011-01-01;08:00;0.0;5.9;17.9;18.0;17.8;96.0;3.2
2011-01-01;09:00;0.0;6.1;17.9;17.9;17.8;96.0;2.8
2011-01-01;10:00;0.0;271.0;18.7;18.7;17.9;97.0;3.7
2011-01-01;11:00;0.0;704.3;19.2;19.5;18.7;95.0;2.5
2011-01-01;12:00;0.0;1069.8;20.3;20.3;19.2;89.0;2.9
2011-01-01;13:00;0.0;1722.0;21.0;21.9;20.2;83.0;3.7
2011-01-01;14:00;1.4;1672.7;21.0;21.9;20.6;89.0;2.6
2011-01-01;15:00;0.2;2492.5;23.4;23.6;20.6;76.0;3.3
2011-01-01;16:00;1.6;2368.6;20.4;24.6;20.4;84.0;3.1
2011-01-01;17:00;7.0;1028.6;21.6;21.7;19.7;87.0;5.0
2011-01-01;18:00;0.0;2340.6;22.5;23.0;21.1;75.0;5.5
2011-01-01;19:00;0.0;1078.8;21.9;22.5;21.8;80.0;3.9
2011-01-01;20:00;0.0;274.6;19.7;22.0;19.7;88.0;4.1
2011-01-01;21:00;1.0;111.4;18.9;19.7;18.9;94.0;3.4
2011-01-01;22:00;0.8;17.4;18.8;19.0;18.6;95.0;3.1
2011-01-01;23:00;0.0;11.0;18.8;18.9;18.7;95.0;3.0
2011-01-02;00:00;0.0;7.8;18.6;18.8;18.5;95.0;3.0
2011-01-02;01:00;0.4;6.2;18.6;18.6;18.5;96.0;3.1
2011-01-02;02:00;0.2;5.4;18.4;18.6;18.4;96.0;3.1
2011-01-02;03:00;0.4;5.0;18.3;18.5;18.3;97.0;3.5
2011-01-02;04:00;0.2;4.8;18.4;18.5;18.3;95.0;3.4
2011-01-02;05:00;0.0;4.6;18.5;18.5;18.4;95.0;3.8
2011-01-02;06:00;0.0;4.6;18.2;18.5;18.2;96.0;4.1
2011-01-02;07:00;0.2;4.6;18.3;18.3;18.2;97.0;2.9
2011-01-02;08:00;0.4;4.6;18.3;18.4;18.2;95.0;4.6
2011-01-02;09:00;0.0;4.5;17.9;18.3;17.9;96.0;4.1
2011-01-02;10:00;0.6;137.0;18.1;18.2;17.9;96.0;3.3
2011-01-02;11:00;0.6;271.0;18.3;18.4;18.0;96.0;4.8
2011-01-02;12:00;0.2;549.1;18.7;18.8;18.3;95.0;5.0
2011-01-02;13:00;4.0;693.7;18.8;19.0;18.6;96.0;4.4
2011-01-02;14:00;2.6;764.5;19.2;19.3;18.7;94.0;5.5
2011-01-02;15:00;1.2;582.1;19.0;19.3;18.9;95.0;4.4
2011-01-02;16:00;2.0;470.0;18.6;19.0;18.5;94.0;7.0
2011-01-02;17:00;0.6;649.6;18.9;19.0;18.5;93.0;6.2
2011-01-02;18:00;0.2;786.1;19.0;19.2;18.8;90.0;6.6
2011-01-02;19:00;0.2;546.8;19.0;19.1;18.6;91.0;6.5
