Data;Hora UTC; Precipitacao;Radiacao;Temperatura;Temperatura Maxima;Temperatura Minima;Umidade do Ar;Vento Velocidade
2006-01-01;00:00;0;-9999;18.6;18.6;17.8;87;1.4
2006-01-01;01:00;0;-9999;17.5;18.7;17.3;92;1.2
2006-01-01;02:00;,2;-9999;17.4;17.5;17.2;94;0.0
2006-01-01;03:00;0;-9999;17.1;17.9;17.1;91;0.0
2006-01-01;04:00;0;-9999;17.5;17.5;16.9;93;0.3
2006-01-01;05:00;0;-9999;18.0;18.1;17.4;84;1.7
2006-01-01;06:00;0;-9999;18.0;18.2;17.7;78;1.8
2006-01-01;07:00;0;-9999;17.3;18.1;17.1;80;1.1
2006-01-01;08:00;0;-9999;17.9;18.1;17.2;90;1.3
2006-01-01;09:00;0;4,2;18.1;18.1;17.8;80;1.3
2006-01-01;10:00;0;158,2;18.3;18.3;17.9;80;0.9
2006-01-01;11:00;0;925,7;20.8;20.8;18.3;70;1.8
2006-01-01;12:00;0;1871,6;21.8;22.0;20.6;63;4.2
2006-01-01;13:00;0;2813,5;24.0;24.0;21.6;62;3.8
2006-01-01;14:00;0;2829,9;23.4;24.1;22.9;63;5.0
2006-01-01;15:00;0;2628,8;23.5;24.7;23.4;64;4.0
2006-01-01;16:00;0;2935,5;24.8;25.7;23.4;60;3.9
2006-01-01;17:00;0;2270,1;22.6;25.8;22.6;66;5.3
2006-01-01;18:00;0;1160,9;20.9;22.5;20.4;76;4.1
2006-01-01;19:00;0;1981,6;23.7;23.7;20.8;67;3.5
2006-01-01;20:00;0;1352;23.7;24.2;23.0;64;3.3
2006-01-01;21:00;0;297,7;22.5;23.7;22.4;72;2.1
2006-01-01;22:00;0;79,6;21.3;22.5;21.3;77;1.9
2006-01-01;23:00;0;-9999;20.4;21.3;20.4;83;2.8
2006-01-02;00:00;0;-9999;20.1;20.4;19.9;85;2.3
2006-01-02;01:00;0;-9999;20.4;20.4;20.0;84;2.5
